ID,Title,Abstract,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Snowballing applied?,Notes
160, APPLICATIONS DISTRIBUTED ON APP STORES; PACARD: A PERSONALIZED ADAPTIVE CARD-BASED INTERFACE FOR MOBILE LEARNING APPLICATIONS …,"N/A ""This site can’t be reached
ir.lib.ncu.edu.tw refused to connect.""  inaccessible",范藍 ,N/A,N/A,2017,Query,yes,no,no,,,,,,,,x,,
161,An adaptive system architecture for devising adaptive user interfaces for mobile ERP apps,"The mobile ERP model can enrich the research on smart city concept with an ICT application that can enhance the sustainability and the quality of business life for enterprises' employees, and economic prosperity for people. Presently, this model has become a core requirement for enterprises that have ERP systems, due to the benefits that can be reaped from it. However, this model suffers from poor usability, due to the usability challenges that are inherited from ERP systems, and the mobile context of use. Adaptive user interfaces (AUIs) were exploited in numerous research works as a means to improve the usability of software applications by addressing their usability challenges through these types of UIs. However, a knowledge gap was identified in finding an appropriate adaptive system architecture that can support the adaptation processes in AUIs for mobile ERP apps. Therefore, this paper aims to bridge this gap by presenting an adaptive system architecture that can enable the automatic adaptation for the UIs' components of mobile ERP apps according to the context of use.",Khalil Omar ; Jorge Marx Gómez,2nd International Conference on the Applications of Information Technology in Developing Renewable Energy Processes & Systems (IT-DREPS),Conference,2017,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
162,Content-adaptive bitrate reduction in mobile multimedia applications,This paper describes experimental study of Quality of Experience of compressed audiovisual materials for bandwidth-limited multimedia systems. A new method of bit rate reduction in such systems is proposed in this paper. It is based on a cross-modal audiovisual interaction-based model of Quality of Experience and takes into account that optimal audio and video codec parameters in bandwidth-limited multimedia systems can be content-adaptive.,Evgenia Grineko ; Konstantin Glasman ; Alexander Belozertsev,IEEE Fourth International Conference on Consumer Electronics Berlin (ICCE-Berlin),Conference,2014,Query,yes,yes,no,x,,,,,,,,,
163,Design of Application Brightness Data Collection for Adaptive Visualization in Mobile Learning System,"Screen brightness control is important for mobile learning activities. The effectiveness of learning which was provided by adaptive and personalized visualization of mobile learning can be accomplish by adjusting appropriate brightness in various lighting conditions. The aims of this research is to collect two kinds of data, the first one is sensor data value (lux) as the environment brightness and another one is screen brightness (luminance) in mobile devices. In this paper, we developed an Android application program to collect these data. By collecting these data, appropriate brightness will be arrange to create a screen viewability and comfort to support mobile learning activities. As the result of testing with various conditions, surrounding brightness data in dim condition is 30 lux - 40 lux, which is the appropriate screen brightness is 25 cd/m2 - 35 cd/m2. The maximum surrounding brightness data is 10.000 lux in outdoor with sun daylight and maximum screen brightness is 255 cd/m2. As the conclusion, collecting data in various light conditions gives us basic data for adaptive screen optimization in mobile learning. Further, these data can be analysed and useful for adaptive visualization in mobile learning application.","Muladi, Fitri Shofiana, Yasuhisa Okazaki","International Conference on Electrical Engineering, Informatics, and Its Education",Conference,2015,Query,yes,yes,no,x,,,,,,,,,
164,A Middleware Supporting Adaptive and Context-Aware Mobile Applications,"Mobile Applications with context awareness features allow mobile users to communicate and share different sorts of context-based information among themselves, such as the current position of other users, geo-referenced data, device speed and others. Although many of such mobile collaboration applications potentially share a good amount of functionality, most of them are developed from scratch, monolithic and tailored to specific mobile platforms, what limits their applicability. This chapter presents a client middleware architecture which supports dynamic deployment and composition of components for context-awareness, common collaboration services, and presents a context oriented language easing the coding of such applications. We also present some prototype context-aware applications implemented on the top of our middleware services, one of which was used to assess the advantages of using our middleware.","David L., Viterbo J., Malcher M., Fonseca H., Baptista G., Endler M",Mobile Context Awareness,Chapter in a Book,2012,Query,,,,,,,,,,x,,,
165,A proactive approach for context-aware self-adaptive mobile applications to ensure Quality of Service,"Mobile Applications are rapidly emerging as a convenient medium for using a variety of services. With the high penetration of smart phones in society, self-adaptation has become an essential capability required by mobile application users. In an ideal scenario, an application is required to adjust its behavior according to the current context of its use. This raises the challenge in mobile computing towards the design and development of applications that sense and react to contextual changes to provide a value-added user experience. In its general sense, context information can relate to the environment, the user, or the device status. In this paper, a framework is proposed for building context aware and adaptive mobile applications. Based on the concepts of software requirement specification and probabilistic modeling, this framework guides the modeling of adaptability at design time and supports context awareness and adaptability at runtime to tackle potential issues that can hamper Quality of Service (QoS). In the core of the approach, a probabilistic model has been derived from the software requirement model using the quantitative terms of context dependability and then, it is continuously verified against the runtime operations of a mobile application. Finally, the proposed approach has been used in a mobile application development use case to observe how proactive adaptability can be built into mobile application development to ensure QoS.",Md. Shafiuzzaman ; Nadia Nahar ; Md. Rayhanur Rahman,18th International Conference on Computer and Information Technology (ICCIT),Conference,2015,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
166,Effect of an adaptive career-consultation mobile application on students' competency development,"Graduate youth unemployment has recently substantially increased, and the learning-application gap is a major problem. Universities are crucial for addressing this gap. An adaptive career-consultation mobile application (ACCMA) integrating student capabilities and interests was developed to help students connect what they are learning at university with workplace needs. With a questionnaire, 475 senior university students were surveyed. The ACCMA was significantly more beneficial than general career counselling at assisting students in understanding their capabilities and interests and planning their future careers. Additionally, students were more satisfied with this method of career consultation. It is suggested that the learning-application gap can be reduced by using mobile technology to provide students with information and by assessing students' capabilities and interests, and how they may fit in the current employment market. This will enhance their employability and competitiveness and reinforce their future career development.","Po-Han Wu, Yu-Hsien Huang",International Journal of Mobile Learning and Organisation,Journal,2017,Query,yes,yes,no,x,,,,,,,,,
167,ADAPTIVE MOBILE APPLICATIONS,"The area of computing incorporates a vast range of devices with different capabilities in terms of battery life, network connectivity, processing power and disk management. An endless battery life and flawless connectivity to multiple wireless access points are increasingly essential for the mobile device user. Nevertheless the battery life and the capability of being able to connect to wireless networks will fluctuate greatly between each device. Portable multimedia devices such as Personal Digital Assistants (PDA’s) and Smartphones with restricted memory will also vary greatly; however, users of these devices will expect optimal multimedia delivery. Therefore we need an intelligent middleware application that will take a critical role for the coordination between the devices hardware and software so that the user can get the full potential from the device. We document the development of an intelligent media player application which can adapt to platform state changes using the Intel Mobile SDK. The application can detect and respond appropriately to changes in network connectivity, network connection quality and power consumption optimization and then gracefully handle intermittent connectivity.","Conrad Deighan*, Joan Condell and Kevin Curran",Mobile Computing Research and Applications,Chapter in a Book,2009,Query,no,no,no,,,,,,,x,,,
168,Adaptive Mobile Applications in Passive Network Awareness,"In pervasive computing, adaptation is essential to applications. However, adaptation requires an up-to-the-minute understanding of the state of the environment, which often comes with a significant added cost in terms of computation and communication. In this paper, we explore possibilities for measuring the degree of mobility in dynamic ubiquitous networks. Existing measures of mobility degree are either global values (e.g., the average node speed) or local measures that require additional coordination (e.g., the relative speed of neighboring nodes). In contrast, we describe a completely passive approach to measuring the local mobility degree that uses knowledge about communication mechanisms to determine the network dynamics affecting a single node. This context information can subsequently be used by a node to adapt communication and application protocols to current conditions. In this paper, we define a passive metric that gives a node an approximate view of local network dynamics and compare its ability to capture dynamics with existing metrics.","Sumit Kumar Sar, Dinesh Kumar Bhawnani, Chaitali Choudhary","International Journal of Advanced in Management, Technology and Engineering Sciences",Journal,2018,Query,yes,yes,no,,x,,,,,,,,
169,A fog computing based concept drift adaptive process mining framework for mobile APPs,"Mobile applications are widely used to provide users convenient and friendly service experiences. Meanwhile, service logs generated by mobile applications are analyzed to obtain user behavior patterns for monitoring and optimizing mobile application performances. However, due to the frequent updates in mobile application, situations of concept drifts often occur in service log streams, which lead to challenges in mobile process mining. In this paper, a novel framework is proposed to solve the above problems by combining fog-computing-based concept drift detecting with cloud-computing-based process mining. Firstly, incomplete log data are preprocessed using fog-computing technologies to provide more accurate log contexts and lower overhead. Then, concept drift detecting methods are used in cloud computing layer to deal with the transfer of mobile applications from one version to another. Finally, experimental results demonstrate that our framework can deduce missed case identifiers for logs when concept drifts happen.","TaoHuanga, BoyiXub, Hongming Cai, Jiawei Du, Kuo-Ming Chao, Chengxi Huanga, ","Future Generation Computer Systems
Volume 89, December 2018, Pages 670-684",Article,2018,Query,yes,yes,no,x,,,,,,,,,
170,"E-Learning and Online Examination Android Application using Smart Adaptive Algorithm","Online examination is used primarily to measure cognitive abilities, demonstrating what has been learned after a particular educational event has occurred, such as the end of an instructional unit or chapter. Learning from an android application with Intelligence would be beneficial for Students. We shall provide the practice paper on Android platform to solve which shall boost the confidence of the individual. After gaining the confidence a real time MCQ based examination shall be conducted which will be Adaptive in nature and provide analysis about answering pattern of the student. The Questions would be uploaded by the professor itself with different difficulty levels.","Jay Lakhani, Jaykumar Shah, Uday Rote",International Journal for Research in Engineering Application & Management (IJREAM),Journal,2016,Query,yes,yes,no,x,,,,,,,,,
171,Adaptive Control Applications on Path-Tracking Control of Mobile Robot,"A simple adaptive controller consists of fuzzy-neural network and PD controller,which makes parallel controls on path tracking of the mobile robot.In the initialization,the PD controller controls the path-tracking and supplies experience of control for learning of fuzzy neural work.The fuzzy neural network controller can on-line learn and adaptive tune parameters of network controlled by management of learning signal trigger.The fuzzy neural network controller can provide the control law and identify the dynamics of mobile robot.The BP learning algorithm is used for real-time on-line adaptive tune parameters of network to adaptive control path tracking of the mobile robot.","XIANG Xue-fu,ZHANG Ji-ye",N/A (http://www.iheadlab.com/resources/papers/DylanPaper003.pdf),N/A,N/A,Query,yes,,,,x,,,,,,,,Unknown Year
172,Adaptive Mechanisms for Mobile Spatio-Temporal Applications,"Mobile spatio-temporal applications play a key role in many mission critical fields, including Business Intelligence, Traffic Management and Disaster Management. They are characterized by high data volume, velocity and large and variable number of mobile users. The design and implementation of these applications should not only consider this variablility, but also support other quality requirements such as performance and cost. In this thesis we propose an architecture for mobile spatio-temporal applications, which enables multiple angles of adaptivity. We also introduce a two-level adaptation mechanism that ensures system performance while facilitating scalability and context-aware adaptivity. We validate the architecture and adaptation mechanisms by implementing a road quality assessment mobile application as a use case and by performing a series of experiments on cloud environment. We show that our proposed architecture can adapt at runtime and maintain service level objectives while offering cost-efficiency and robustness.","Theodorou, Vasileios",York University's Institutional Repository,Masters Thesis,2014,Query,no,no,no,,,,,,,x,,,
173, Development Approach and Best Practices for Adaptive Mobile Applications,N/A,N/A,N/A,N/A,2013,Query,,,,,,,,,,,x,,
174,Optimizing performance and fault tolerance through cloud based adaptive replication for mobile applications,"Cloud Computing is one of the important emerging technologies, which is considered as computing infrastructure of the next generation. Mobile cloud computing is a research paradigm that integrates cloud computing into mobile computing. This integration raises many challenges like performance, battery time, efficiency, network bottlenecks etc. In this paper, issues addressed include performance and fault tolerance. The emphasis is to improve and optimize the performance and fault tolerance characteristics of mobile applications by method of replicating their resources or computation on cloud platform at back end. As a proof of concept, a prototype will be developed. It will be designed for managing and transporting the necessary contents of mobile application from mobile phone/tablets to cloud based platform. This framework or middleware will be responsible for offloading the computation intensive code on the cloud resources as well as adaptive or dynamic replication of data on the cloud resources. This middleware will be designed for android based phones using the java framework. An android application related to N-Queen problem will also be developed which will use this middleware. Google app engine will be used as back end cloud which will be used to perform data computation as well as for storage of results. The Mobile application's developers would be able to use this middleware by making slight changes in their application's code.",Tayyiba Naeem ; Sarmad Sadik,2nd International Conference on Systems and Informatics (ICSAI 2014),Conference,2014,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
175,Performance Analysis of Adaptive DOA Estimation Algorithms for Mobile Applications,Spatial filtering for mobile communications has attracted a lot of attention over the last decade and is currently considered a very promising technique that will help future cellular networks achieve their amb itious goals. One way to accomplish this is via array signal processing with algorithms which estimate the Direction-Of-Arrival (DOA) of the received waves from the mobile users. This paper evaluates the pe rformance of a number of DOA estimation algorithms. In all cases a linear antenna array at the base station is assumed to be operating typical cellular environment.,"A. M. Prasanna Kumar, K. Suresh","Proceedings of International Conference on VLSI, Communication, Advanced Devices, Signals & Systems and Networking",Conference,2013,Query,yes,yes,no,,x,,,,,,,,
176,Implementation of Self-adaptive Middleware for Mobile Vehicle Tracking Applications on Edge Computing,"Unstructured data gathered from various IoT sensors is rapidly increasing due to inexpensive electronic devices and high-speed networks. On the other hand, mobile edge computing (MEC) is an attractive data processing method that can shorten the communication distance and reduce the latency of computation-intensive tasks by distributing data to the edge servers close to the users, unlike processing data on clouds that are located far from users. In the present paper, we propose a specialized self-adaptive middleware for reconfiguration of image/video contents for adaptation to changes with the movement of a vehicle. The key concept behind this approach is to introduce the rule-based relocation of objects among sensor devices, edge servers, and existing clouds as a basic adaptation mechanism to recognize and track mobile vehicles. Experimental results show that tracking precision with a state-of-the-art tracker is up to 89% for MEC.","Jingtao Sun, Cheng YangTomoya TanjoKazushige SageKento Aida",the Lecture Notes in Computer Science book series,Conference,2018,Query,yes,yes,no,,x,,,,,,,,
177,Noise adaptive particle filtering for mobile robot applications,"""N/A Due encoding issues please click here"")","Jaffer, Sadiq",University of Warwick,PhD thesis,2010,Query,,,,,,,,,,x,,,
178,MAMoC: Multisite Adaptive Offloading Framework for Mobile Cloud Applications,"This paper presents MAMoC, a framework which brings together a diverse range of infrastructure types including mobile devices, cloudlets, and remote cloud resources under one unified API. MAMoC allows mobile applications to leverage the power of multiple offloading destinations. MAMoC's intelligent offloading decision engine adapts to the contextual changes in this heterogeneous environment, in order to reduce the overall runtime for both single-site and multi-site offloading scenarios. MAMoC is evaluated through a set of offloading experiments, which evaluate the performance of our offloading decision engine. The results show that offloading computation using our framework can reduce the overall task completion time for both single-site and multi-site offloading scenarios.",Dawand Sulaiman ; Adam Barker,IEEE International Conference on Cloud Computing Technology and Science (CloudCom),Conference,2017,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
179,Comparison of Adaptive E-learning Mobile and Web-Based Software Applications Effectiveness,"Our research studies the impact of different adaptive learning strategies on improving students study behavior. We have developed an e-learning software system that assists students to improve their study behavior from two different perspectives. In both of the perspectives, our e-learning system has different functionalities and implements different adaptive learning techniques. In the first approach, e-learning software system uses mobile app that through automatic reminders and different screen widgets, persuades the students to stay in touch with study and keep themselves up to date about different class activities. In the second approach, e-learning system uses automated web based SMS application for automatically sending timely and related messages to different students in order to keep them aware of their study progress and different class activities. Both approaches were thoroughly tested on undergraduate students and at the end interesting results were revealed about different adaptive and persuasive techniques that would help educationalist and software engineers in streamlining the process of mobile learning in future.",Muhammad Adnan ; Hamid Mukhtar,IEEE 14th International Conference on Advanced Learning Technologies,Conference,2014,Query,yes,yes,no,x,,,,,,,,,
180,Supporting English language learners with an adaptive mobile application,"English language learners (ELL) have dedicated considerable time and effort to the development
of their language proficiency. This has included the use of a variety of mobile assisted language
learning (MALL) tools that are either unproven or that have undergone limited evaluations of
their effectiveness. The majority of these evaluations have been performed with beginner
foreign-language Iearners at the post-secondary level. Moreover, dedicated MALL tools rarely
support the Iearner’s ability to communicate in English. I propose and demonstrate the feasibility
of an adaptive MALL approach that aims to scaffold ELL vocabulary and communication needs.
This scaffolding recommends learning materials to ELLs by employing the ecological approach
to dynamically reason over logs of learner interactions with a MALL tool.","Demmans Epp, Carrie Anne.",University of Toronto,PhD thesis,2016,Query,no,no,no,,,,,,,x,,,
181,Applying the Adaptive Control of Thought-Rational Theory into the Design of Mobile Worked Examples Applications,"Using a direct problem solving method creates confusion and cognitive load for the novice learners. To address the issue, we applied basics of “Adaptive Control of Thought-Rational Theory (ACT-R) and designed a mobile learning application that uses worked examples using simulation. As an alternative method, this mobile application supports teaching production rules and procedural knowledge in a step-by-step manner. This paper discusses the basics implementations of ACT-R Theory into the design of mobile application that uses worked examples as the main delivery method. The paper would be interesting for educational technology practitioners that would like to have examples of the practical applications of ACT-R Theory into mobile learning application design.","Ilker Yengin, Ibrahim Furkan Ince"," International Journal of Robots, Education and Art",journal,2014,Query,yes,yes,no,x,,,,,,,,,
182,Diverse social networking applications and adaptive mobile networks,"In the past years, mobile Internet has witnessed a flourish of various social networking applications. To well understand traffic characteristics of social networking applications and potential impact on mobile networks, we set up an experiment mobile network and analyzed the dynamic traffic behavior of the popular social networking applications in East Asia by typical smartphones. It is observed that the traffic patterns of these social networking applications are quite diverse, and they are related to many factors such as the type of smartphone operating system, application running status, user settings and smartphone screen status. Special characteristics of observed traffic pattern can lead to significant negative impact on mobile networks and smartphones. To resolve these negative impacts and problems of existing solutions, an application assisted mechanism is proposed to tune mobile network adaptively based on dynamic traffic pattern of applications.",Shunliang Zhang ; Yi Wu ; Ping Qiu,IEEE Workshop on Advanced Research and Technology in Industry Applications (WARTIA),Conference,2014,Query,yes,yes,no,x,,,,,,,,,
183,"Empirical Evaluation of Mobile Applications and an Adaptive Approach to Computation Offloading","With the widespread of rich mobile applications, the usage of mobile devices, especially
smart phones and tablets, has become popular nowadays. However, mobile devices are
limited in battery, CPU, memory and storage. These constraints prevent mobile devices
from widely running all kinds of rich mobile applications. Computation offloading is
believed to be a potential solution to the hardware limitations of mobile devices for
energy saving and/or higher performance. To meet this goal, a number of experiments
have been performed in this research to compare energy efficiency of mobile devices
with different offloading targets, e.g., a nearby PC or a remote cloud server. Experiments
have also been conducted to examine the impact of various factors and provide insights
on power consumption for different mobile applications. Finally, an adaptive algorithm,
based on experimental results, has been developed to automatically select the most
suitable computation target which has enough capacity to execute computationally
intensive applications for energy saving and achieve a desirable performance at the same
time.",Kelie Zhan,"A Thesis submitted to theFaculty of Graduate Studies and Researchin partial fulfillment of the requirements for the degree of",Masters Thesis,2010,Query,,,,,,,,,,x,,,
184,Application of improved adaptive genetic algorithm in mobile robot path planning,"In order to deal with the problem of the slow convergence speed and local optima of the basic genetic algorithm(GA) in solving the robot path planning,an improved adaptive genetic algorithm(IGA) is proposed here.An artificial potential field method is employed to create the initial population,and the adaptive crossover probability and the mutation probability are designed.Meanwhile,a hybrid selection method is adopted to improve the convergence speed and the evolutionary efficiency and overcome the premature phenomenon of the basic genetic algorithm obviously.Some experi-ments under the grid environment verify the feasibility and effectiveness of the improved adaptive genetic algorithm in mobile robot path planning.",Wang Lei;Li Ming,Journal of Nanjing University of Science and Technology,Journal,2017,Query,,,,,x,,,,,,,,
185,Content-Adaptive Display Power Saving for Internet Video Applications on Mobile Devices,"Backlight scaling is a technique proposed to reduce the display panel power consumption by strategically dimming the backlight. However, for mobile video applications, a computationally intensive luminance compensation step must be performed in combination with backlight scaling to maintain the perceived appearance of video frames. This step, if done by the Central Processing Unit (CPU), could easily offset the power savings via backlight dimming. Furthermore, computing the backlight scaling values requires per-frame luminance information, which is typically too energy intensive to compute on mobile devices. In this article, we propose Content-Adaptive Display (CAD) for two typical Internet mobile video applications: video streaming and real-time video communication. CAD uses the mobile device’s Graphics Processing Unit (GPU) rather than the CPU to perform luminance compensation at reduced power consumption. For video streaming where video frames are available in advance, we compute the backlight scaling schedule using a more efficient dynamic programming algorithm than existing work. For real-time video communication where video frames are generated on the fly, we propose a greedy algorithm to determine the backlight scaling at runtime. We implement CAD in one video streaming application and one real-time video call application on the Android platform and use a Monsoon power meter to measure the real power consumption. Experiment results show that CAD can save more than 10% overall power consumption for up to 55.7% videos during video streaming and up to 31.0% overall power consumption in real-time video calls.","Yao Liu, Mengbai Xiao, Ming Zhang, Xin Li, Mian Dong, Zhan Ma, Zhenhua Li, Lei Guo, Songqing Chen","ACM Transactions on Multimedia Computing, Communications, and Applications",Journal,2016,Query,yes,yes,no,x,,,,,,,,,
186,A self-adaptive framework for enhancing energy efficiency in mobile applications,"Nowadays, many software applications are executed in mobile devices. This poses new challenges on optimizing the limited capacity set by battery life without compromising energy efficiency and performance. In this paper, we propose a framework for mobile applications to enable and evaluate self-adaptability for the purpose of improving energy efficiency without sacrificing performance. Our framework consists of two main parts: the mobile apps simulator and the scheduler.","Fahimeh Alizadeh Moghaddam 
S2 & SNE groups, Vrije Universiteit Amsterdam & University of Amsterdam
; Mario Simaremare ; Patricia Lago ; Paola Grosso",Sustainable Internet and ICT for Sustainability (SustainIT),Article,2017,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
187,Enhanced Adaptive Cloudlet Placement Approach for Mobile Application on Spark,"The applications of mobile devices are increasingly becoming computationally intensive while the computing capability of the user’s mobile device is limited. Traditional approaches offload the tasks of mobile applications to the remote cloud. However, the rapid growth of mobile devices has made it a challenge for the remote cloud to provide computing and storage capacities with low communication delays due to the fact that the remote cloud is geographically far away from mobile devices. Reducing the completion time of applications in mobile devices through the technical expending mobile cloudlets which are moving collocated with Access Points (APs) is necessary. To address the above issues, this paper proposes EACP-CA (Enhanced Adaptive Cloudlets Placement approach based on Covering Algorithm), an enhanced adaptive cloudlet placement approach for mobile applications in a given network area. We apply the CA (Covering Algorithm) to adaptively cluster the mobile devices based on their geographical locations, the aggregation regions of the mobile devices are identified, and the cloudlet destination locations are also confirmed according to the clustering centers. In addition, we can also obtain the traces between the original and destination locations of these mobile cloudlets. To increase the efficiency, we parallelize CA on Spark. Extensive experiments show that the proposed approach outperforms the existing approach in both effectiveness and efficiency.","Yiwen Zhang, Kaibin Wang, Yuanyuan Zhou, and Qiang He2",Security and Communication Networks,Article,2018,Query,yes,yes,no,x,,,,,,,,,
188,Adaptive Bacterial Foraging Algorithm and Its Application in Mobile Robot Path Planning,"This work considered the utilization of biomimicry of bacterial foraging strategy to develop an adaptive control strategy for mobile robot, and proposed a bacterial foraging approach for robot path planning. In the proposed model, robot that mimics the behavior of bacteria is able to determine an optimal collision-free path between a start and a target point in the environment surrounded by obstacles. In the simulation studies, a test scenario of static environment with different number obstacles is adopted to evaluate the performance of the proposed method. Simulation results show that the robot which reflects the bacterial foraging behavior can adapt to complex environments in the planned trajectories with both satisfactory accuracy and stability.",Xiaodan LiangMaowei HeHanning Chen,Bio-inspired Computing – Theories and Applications. BIC-TA 2016. Communications in Computer and Information Science,Conference,2017,Query,yes,no,no,,x,,,,,,,,
189,Adaptive Routing for Quality of Service Management: Case of VoIP Applications over Mobile Ad hoc Networks (VoMANs),N/A,EL Said ,,Thesis,2013,Query,no,no,no,,,,,,,x,,,
190,Adaptive Control of a Class of MIMO Systems Using Fuzzy Logic with Applications to Tracking Control of Nonholonomic Mobile Robots,"Abstract — This paper is concerned with the control prob-lem of a class of general nonlinear multi-input multi-output (MIMO) systems with unknown nonlinearities. A robust adap-tive controller is proposed using fuzzy logic. The possible singularity problem met in the feedback linearization is avoided by introducing the regular inverse of the estimated control gain matrix. The algebraic loop problem encountered in the implementation of the proposed controller, which is caused by compensating the additional term due to the use of the regular inverse, is circumvented by employing filtered signals, and the approximation errors and external disturbances can be efficiently counteracted by employing robust compensators. All signals in the resulting closed-loop can be guaranteed to be uniformly ultimately bounded. The proposed control scheme does not require a priori knowledge of the plant dynamics. Simulation results through the tracking control of a nonholonomic mobile robot with plant uncertainties and external disturbances show the effectiveness and efficiency of the proposed approach. I.","An-Min Zou, Zeng-Guang Hou, Zeng-Shun Zhao, Xiu-Qing Wang, and Min Tan","Workshop: Planning, Perception and Navigation for Intelligent Vehicl",Paper,2007,Query,yes,no,no,,x,,,,,,,,
191,Enabling Mobile Adaptive Computing Environment in Teleteaching and Telemidecine Applications,"The concept of medical treatment from a distance (in absentia care) is actually quite ancient, dating back to tribal days where smoke signals were used to warn of serious disease in a community. Nowadays, telemedicine is used to facilitate treatment in rural areas, where the nearest doctor is miles away, through various forms of information technology, including videoconferencing and digital imaging. It can also be used to conveniently monitor chronically ill patients through electronic devices so that they can enjoy a better quality of life. But despite the strides that have been made in utilizing the telemedicine technology, there remain a number of limitations and weaknesses that must be overcome before this treatment paradigm can reach its full potential. In Mobile Telemedicine: A Computing and Network Perspective, noted computer scientists Yang Xiao and Hui Chen examine those computing and networking dilemmas arising from wireless and mobile telemedicine. Comprised of the contributions of many prominent international researchers, the book discusses the relative merits and limitations of the existing technology and sheds light on future developments. It begins with a discussion of patient care and monitoring through items such as personal alarm systems. It then reviews the current methods available to monitor cardiac and diabetic patients, analyzes the security and privacy considerations that arise with respect to the transmission of sensitive information, and examines issues relating to networking support. Finally, it concludes with a section on the opportunities and challenges faced by those involved at this intersection of healthcare and communications. By bridging the fields of medicine and information technology, this volume serves as a useful springboard for those pioneering IT researchers looking for a comprehensive reference. The book also provides information for those involved with either communications or healthcare who want to learn about the current state and potential use of this technology.",Tuan Cao-Huu,Mobile Telemedicine: A Computing and Networking Perspective,Chapter in a Book,2008,Query,no,no,no,,,,,,,x,,,
192,Mach: A Content Generating Engine for Adaptive Multimedia Applications in the Mobile Environment,"For adaptive content generation, it means that the application can recognize a user’s preference and consequently retrieve and present the appropriate media objects stored in the databases. That is, the application presents only the media objects with the conditions evaluated to be true according to the user’s demand or preference. The feature of adapting presentation contents can significantly improve browsing results through providing materials that are more suitable for each individual user. In the mobile environment, some more changing factors can affect a user’s access to the contents generated by the presentation engine. These factors include location, available bandwidth, past visits, the currently closest media source, etc. In this paper, we propose an adaptive content generating engine called Mach for mobility-aware multimedia applications. Mach’s goal is that a single content description file can be applied to compose various multimedia presentations. By following the statements of the description file and the user’s preference, Mach can dynamically generate adaptive contents for each class of users. In this way, the content designer does not need to compose several description files for each class of users. Mach is based on the XML (eXtensible Markup Language) standard and thus its platform independence makes our work well-suited to the mobile environment.",Chian Wang,Human Interface and the Management of Information. Interacting in Information Environments. Human Interface,Article in a Book,2007,Query,,,,,,,,,,x,,,
193,"The Framework for Adaptive Games for Mobile Application Using Neural Networks
","he rapid development of the BlackBerry games industry and its development goals were not just for entertainment, but also used for educational of students interactively. Unfortunately the development of adaptive educational games on BlackBerry in Indonesian language that interesting and entertaining for learning process is very limited. This paper shows the research of development of novel adaptive educational games for students who can adjust the difficulty level of games based on the ability of the user, so that it can motivate students to continue to play these games. We propose a method where these games can adjust the level of difficulty, based on the assessment of the results of previous problems using neural networks with three inputs in the form of percentage correct, the speed of answer and interest mode of games (animation / lessons) and 1 output. The experimental results are presented and show the adaptive games are running well on mobile devices based on BlackBerry platform
","Widodo Budiharto, Michael Yoseph Ricky, Ro'fah Nur Rachmawati",World Academy of Science,Journal,2012,Query,yes,yes,no,x,,,,,,,,,
194,"Adaptive scheme for application methods offloading in mobile cloud
computing","Recently, due to existence of a lot of mobile applications that consume high their computing power and energy. So, there are ofﬂoading schemes which move the computing power and data storage away from a mobile phone into a power full cloud server which has a big storage space by ofﬂoading methods or services to the cloud server. However, the ofﬂoading might consume more energy than the local processing of data when the size of code is small. This paper introduces a new ofﬂoading scheme by using decision making approaches. The scheme considers each service or process in a mobile application as a set of methods and can ofﬂoad a group of methods based on a deﬁned cost model. Also, it enumerates the set of solutions based on decision making approaches to ﬁnd all feasible solutions which satisfy the cost model then it selects the best feasible solution among them. The conducted simulation results show that the ofﬂoading performance of the proposed scheme is much better than local processing scheme.","Asaad Ahmed, Aly Emara",International Journal of Computer Science and Information Security,Journal,2017,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
195,Context-Aware Mobile and Ubiquitous Computing for Enhanced Usability: Adaptive Technologies and Applications,N/A,"Kanter, Theo",http://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-135390,Journal,2009,Query,yes,no,no,,,,,,,,x,,Via VU lib = book
